Frente	Verso
かぞく	<b>Família</b><br>(kazoku)
ちち	<b>Pai (meu)</b><br>(chichi)
はは	<b>Mãe (minha)</b><br>(haha)
そふ	<b>Avô (meu)</b><br>(sofu)
そぼ	<b>Avó (minha)</b><br>(sobo)
あに	<b>Irmão mais velho (meu)</b><br>(ani)
あね	<b>Irmã mais velha (minha)</b><br>(ane)
おとうと	<b>Irmão mais novo</b><br>(otouto)
いもうと	<b>Irmã mais nova</b><br>(imouto)
おとうさん	<b>Pai (de outra pessoa)</b><br>(otousan)
おかあさん	<b>Mãe (de outra pessoa)</b><br>(okaasan)
おにいさん	<b>Irmão mais velho (de outra pessoa)</b><br>(oniisan)
おねえさん	<b>Irmã mais velha (de outra pessoa)</b><br>(oneesan)
おじいさん	<b>Avô (de outra pessoa)</b><br>(ojiisan)
おばあさん	<b>Avó (de outra pessoa)</b><br>(obaasan)
ラーメン	<b>Ramen</b> — Macarrão em caldo saboroso<br>(raamen)
すし	<b>Sushi</b> — Arroz temperado com peixe/vegetais<br>(sushi)
カレーライス	<b>Curry com arroz</b><br>(karee raisu)
ぎゅうどん	<b>Tigela de arroz com carne bovina</b><br>(gyuudon)
てんぷら	<b>Tempura</b> — Vegetais e camarão empanados<br>(tenpura)
うどん	<b>Udon</b> — Macarrão grosso de trigo<br>(udon)
おにぎり	<b>Bolinho de arroz</b><br>(onigiri)
オムライス	<b>Omelete sobre arroz</b><br>(omuraisu)
すきやき	<b>Sukiyaki</b> — Panela quente com carne e vegetais<br>(sukiyaki)
ピザ	<b>Pizza</b><br>(piza)
のみもの	<b>Bebida</b><br>(nomimono)
たべもの	<b>Comida</b><br>(tabemono)
みず	<b>Água</b><br>(mizu)
おちゃ	<b>Chá verde</b><br>(ocha)
こうちゃ	<b>Chá preto</b><br>(koucha)
コーヒー	<b>Café</b><br>(koohii)
ぎゅうにゅう	<b>Leite</b><br>(gyuunyuu)
ジュース	<b>Suco / Refrigerante</b><br>(juusu)
おさけ	<b>Saquê / Bebida alcoólica</b><br>(osake)
すき	<b>Gostar</b><br>(suki)
きらい	<b>Não gostar</b><br>(kirai)
だいすき	<b>Amar / Adorar</b><br>(daisuki)
だいきらい	<b>Odiar / Detestar</b><br>(daikirai)
〜がすきです	<b>Eu gosto de ~</b><br>(~ ga suki desu)
〜がきらいです	<b>Eu não gosto de ~</b><br>(~ ga kirai desu)
〜がだいすきです	<b>Eu adoro ~</b><br>(~ ga daisuki desu)
なにがすきですか？	<b>Do que você gosta?</b><br>(Nani ga suki desu ka?)
なにがきらいですか？	<b>Do que você não gosta?</b><br>(Nani ga kirai desu ka?)
どんなたべものがすきですか？	<b>Que tipo de comida você gosta?</b><br>(Donna tabemono ga suki desu ka?)
ラーメンがすきですか？	<b>Você gosta de ramen?</b><br>(Raamen ga suki desu ka?)
わたしはラーメンがすきです	<b>Eu gosto de ramen.</b><br>(Watashi wa raamen ga suki desu.)
ぼくはすしがだいすきです	<b>Eu adoro sushi!</b><br>(Boku wa sushi ga daisuki desu!)
わたしはぎゅうにゅうがきらいです	<b>Eu não gosto de leite.</b><br>(Watashi wa gyuunyuu ga kirai desu.)
ぎゅうどんもすきです	<b>Também gosto de gyudon.</b><br>(Gyuudon mo suki desu.)<br><i>も = "também"</i>
すしはすきですか？	<b>E sushi, você gosta?</b><br>(Sushi wa suki desu ka?)<br><i>は = contraste: "quanto a..."</i>
はい、すきです。でも、ピザはきらいです	<b>Sim, gosto. Mas não gosto de pizza.</b><br>(Hai, suki desu. Demo, piza wa kirai desu.)
ちちはかいしゃいんです	<b>Meu pai é funcionário de empresa.</b><br>(Chichi wa kaishain desu.)
おとうさんはかいしゃいんですか？	<b>Seu pai é funcionário de empresa?</b><br>(Otousan wa kaishain desu ka?)<br><i>Usar forma respeitosa (おとうさん) para família de outro</i>
〜は〜です	<b>Estrutura da frase: [membro] は ... です</b><br>= "[Membro da família] é/sou ..."<br>Ex: ちちは かいしゃいんです<br>(chichi wa kaishain desu)
たべる	<b>Comer (verbo)</b><br>(taberu)
のむ	<b>Beber (verbo)</b><br>(nomu)
