Frente	Verso
い-けいようし (adjetivos い)	<b>い-adjetivos</b><br>Terminam em い na forma de dicionário.<br>São "verbos disfarçados" — contêm o "é" embutido.<br>Usa-se direto antes de substantivos.<br>Ex: おおきい ほん (livro grande)<br>(i-keiyoushi)
な-けいようし (adjetivos な)	<b>な-adjetivos</b><br>NÃO terminam em い gramatical.<br>Precisam de な antes de substantivos.<br>Comportam-se como substantivos descritivos.<br>Ex: きれい<b>な</b> はな (flor bonita)<br>(na-keiyoushi)
Falsos い-adjetivos: きれい e ゆうめい	⚠️ <b>Falsos い-adjetivos!</b><br>きれい (kirei) e ゆうめい (yuumei) terminam em い mas são <b>な-adjetivos</b>!<br>O い faz parte do kanji/leitura, não é terminação gramatical.<br>✅ きれい<b>な</b> ところ<br>❌ きれい ところ (faltou o な)
Regra visual: い-adj vs な-adj	<b>Antes de substantivo:</b><br>い-adj: おおきい ほん (direto, sem な)<br>な-adj: きれい<b>な</b> はな (precisa de な)<br><br><b>No final da frase (polidez):</b><br>Ambos usam です<br>ほんは おおきいです / はなは きれいです
とても	<b>muito</b><br>Reforça qualquer adjetivo.<br>Ex: とても おおきい です (É muito grande)<br>(totemo)
すこし	<b>um pouco</b><br>Atenua o adjetivo.<br>Ex: すこし さむい です (Está um pouco frio)<br>(sukoshi)
あまり (＋ない)	<b>não muito</b><br>Usado com forma negativa.<br>あまり＋ない = "não é muito~"<br>Ex: あまり おおきくない です (Não é muito grande)<br>(amari)
おおきい	<b>grande</b> 🐘<br>↔ ちいさい (pequeno)<br>(ookii)
ちいさい	<b>pequeno</b> 🐝<br>↔ おおきい (grande)<br>(chiisai)
ながい	<b>longo</b><br>↔ みじかい (curto)<br>(nagai)
みじかい	<b>curto</b><br>↔ ながい (longo)<br>(mijikai)
ひろい	<b>largo / espaçoso</b><br>↔ せまい (estreito)<br>(hiroi)
せまい	<b>estreito / apertado</b><br>↔ ひろい (largo)<br>(semai)
あつい	<b>quente</b> 🔥<br>Para clima (暑い) OU objeto (熱い)<br>↔ さむい (frio)<br>(atsui)
さむい	<b>frio (clima/ambiente)</b> ❄️<br>Usa-se para o ar, clima — o que você SENTE no corpo.<br>↔ あつい (quente)<br>(samui)
たかい	<b>caro / alto</b><br>↔ やすい (barato)<br>(takai)
やすい	<b>barato</b><br>↔ たかい (caro/alto)<br>(yasui)
おもしろい	<b>interessante / divertido</b><br>↔ つまらない (chato)<br>(omoshiroi)
つまらない	<b>chato / sem graça</b><br>↔ おもしろい (interessante)<br>(tsumaranai)
むずかしい	<b>difícil</b><br>↔ やさしい (fácil)<br>(muzukashii)
やさしい	<b>fácil / gentil</b><br>↔ むずかしい (difícil)<br>(yasashii)
つめたい	<b>gelado (toque/objeto)</b> 🧊<br>Usa-se para objetos, bebidas, toque (冷たい).<br>⚠️ NÃO usar para clima!<br>Ex: この みずは つめたいです (Esta água está gelada)<br>(tsumetai)
さむい vs つめたい	<b>さむい (samui)</b> = frio que se SENTE no corpo (ar, ambiente)<br><b>つめたい (tsumetai)</b> = gelado que se TOCA (objeto, líquido)<br>❌ つめたい てんき (tempo gelado)<br>✅ さむい てんき
すき ・ きらい	<b>すき (suki)</b> = gostar ❤️<br><b>きらい (kirai)</b> = não gostar 💔<br>São <b>な-adjetivos</b>!<br>Ex: すきな たべもの (comida de que gosto)
きれい	⚠️ <b>Falso い-adjetivo!</b><br>Bonito / limpo ✨<br>É <b>な-adjetivo</b> — precisa de な antes de substantivo.<br>Ex: きれいな はな (flor bonita)<br>(kirei)
ゆうめい	⚠️ <b>Falso い-adjetivo!</b><br>Famoso 🌟<br>É <b>な-adjetivo</b>.<br>Ex: ゆうめいな ひと (pessoa famosa)<br>(yuumei)
たいせつ	<b>precioso / importante (afetivo)</b> 💎<br>Para pessoas e relacionamentos.<br>Ex: かぞくは たいせつ です (Família é preciosa)<br>(taisetsu)
じゅうよう	<b>importante (objetivo/essencial)</b> 📋<br>Para coisas, documentos, ideias.<br>Ex: このしょるいは じゅうよう です (Este documento é importante)<br>(juuyou)
べんり	<b>conveniente / útil</b> 🔧<br>な-adjetivo.<br>Ex: べんりな アプリ (aplicativo útil)<br>(benri)
たいせつ vs じゅうよう	<b>たいせつ (taisetsu)</b> = precioso, querido — valor SENTIMENTAL (família, amigos)<br><b>じゅうよう (juuyou)</b> = importante, essencial — valor OBJETIVO (documentos, ideias)
なにが〜ですか？	<b>O que é [adjetivo]?</b><br>Estrutura: なにが [adjetivo] ですか？<br>Ex: なにが おもしろい ですか？ (O que é interessante?)<br>(Nani ga ~ desu ka?)
だれが〜ですか？	<b>Quem é [adjetivo]?</b><br>Estrutura: だれが [adjetivo] ですか？<br>Ex: だれが ゆうめい ですか？ (Quem é famoso?)<br>(Dare ga ~ desu ka?)
にほんごが おもしろいです	<b>Japonês é interessante.</b><br>Resposta para: なにが おもしろい ですか？<br>(Nihongo ga omoshiroi desu)
かぞくが たいせつです	<b>A família é preciosa.</b><br>Resposta para: なにが たいせつ ですか？<br>(Kazoku ga taisetsu desu)
