Frente	Verso
にく	<b>carne</b><br>(niku)
さかな	<b>peixe</b><br>(sakana)
やさい	<b>vegetais / verduras</b><br>(yasai)
くだもの	<b>frutas</b><br>(kudamono)
おやさい	<b>vegetais</b> (forma formal/delicada)<br>(oyasai)
おちゃ	<b>chá</b> (forma formal/delicada)<br>(ocha)
まいにち	<b>todo dia</b><br>(mainichi)
まいしゅう	<b>toda semana</b><br>(maishuu)
ときどき	<b>às vezes / de vez em quando</b><br>(tokidoki)
ぜんぜん	<b>nunca / nada</b> — usado com verbo negativo<br>(zenzen)
いつ	<b>quando?</b> (palavra interrogativa)<br>(itsu)
たべます	<b>comer / como</b><br>(tabemasu)
たべません	<b>não comer / não como</b><br>(tabemasen)
のみます	<b>beber / bebo</b><br>(nomimasu)
のみません	<b>não beber / não bebo</b><br>(nomimasen)
は (wa)	<b>partícula de tópico</b> — indica o assunto da frase<br>(wa)
を (wo)	<b>partícula de objeto</b> — indica o objeto que sofre a ação<br>(wo)
に (ni)	<b>partícula de lugar/tempo/direção</b><br>(ni)
で (de)	<b>partícula de local da ação</b> — onde a ação ocorre<br>(de)
の (no)	<b>partícula de posse/relação</b> — "de"<br>(no)
が (ga)	<b>partícula de sujeito/sentimento</b> — usada com すき<br>(ga)
Estrutura SOV	<b>Sujeito + Objeto + Verbo</b> — o verbo sempre no FINAL da frase em japonês!<br>Português: S+V+O | Japonês: S+O+V
[Sujeito] wa [frequência] [objeto] wo [verbo]	<b>Padrão de frase:</b> Sujeito + は + frequência + objeto + を + verbo<br>Ex: わたしはまいにちやさいをたべます
〜はたべますか？	<b>Você come [algo]?</b> — pergunta sobre alimentação<br>Ex: やさいはたべますか？ (Você come vegetais?)
〜はどうですか？	<b>E quanto a [algo]?</b><br>Ex: くだものはどうですか？ (E quanto a fruta?)
〜はいつ〜ますか？	<b>Quando você faz [algo]?</b><br>Ex: にくはいつたべますか？ (Quando você come carne?)
やさいはまいにちたべます	<b>Como vegetais todo dia.</b><br>(Yasai wa mainichi tabemasu)
くだものはときどきたべます	<b>Como fruta às vezes.</b><br>(Kudamono wa tokidoki tabemasu)
にくはぜんぜんたべません	<b>Não como carne nunca.</b><br>(Niku wa zenzen tabemasen)
ごはんはまいにちたべます	<b>Como arroz todo dia.</b><br>(Gohan wa mainichi tabemasu)
コーヒーはときどきかまいにちのみます	<b>Bebo café às vezes ou todo dia.</b><br>(Koohii wa tokidoki ka mainichi nomimasu)
パスタはにちようびたべます	<b>Como macarrão no domingo.</b><br>(Pasuta wa nichiyoubi tabemasu)
ソーダはぜんぜんのみません	<b>Não bebo refrigerante nunca.</b><br>(Sooda wa zenzen nomimasen)
わたしはアニメをみます	<b>Eu assisto anime.</b> (Exemplo de SOV: Sujeito + Objeto + Verbo)<br>(Watashi wa anime wo mimasu)
がっこうにいきます	<b>Vou à escola.</b> (Exemplo de partícula に = direção)<br>(Gakkou ni ikimasu)
にほんで...	<b>No Japão...</b> (Exemplo de partícula で = local da ação)<br>(Nihon de...)
あめがすきです	<b>Gosto de chuva.</b> (Exemplo de partícula が com すき)<br>(Ame ga suki desu)
⚠️ ぜんぜん + negativo	<b>ぜんぜん</b> é sempre usado com verbos <b>negativos</b>!<br>Ex: ぜんぜんたべません (não como nunca)<br>NÃO usar com verbo positivo.
あさ	<b>manhã / cedo</b><br>(asa)
あき	<b>outono</b><br>(aki)
あおい	<b>azul</b> (adjetivo)<br>(aoi)
