Frente	Verso
はる	<b>Primavera</b><br>(haru)
なつ	<b>Verão</b><br>(natsu)
あき	<b>Outono</b><br>(aki)
ふゆ	<b>Inverno</b><br>(fuyu)
きせつ	<b>estação do ano</b><br>(kisetsu)
春	<b>Primavera</b> (kanji 春)<br>(haru)
夏	<b>Verão</b> (kanji 夏)<br>(natsu)
秋	<b>Outono</b> (kanji 秋)<br>(aki)
冬	<b>Inverno</b> (kanji 冬)<br>(fuyu)
あつい	<b>quente</b> (temperatura do ar)<br>(atsui)
さむい	<b>frio</b> (temperatura do ar)<br>(samui)
あたたかい	<b>morno / agradável</b><br>(atatakai)
すずしい	<b>fresco / refrescante</b><br>(suzushii)
きれい	<b>bonito / lindo</b><br>(kirei)
てんき	<b>tempo / clima</b><br>(tenki)
はなみ (花見)	<b>hanami</b> — contemplação das cerejeiras (primavera)<br>(hanami)
はなび (花火)	<b>hanabi</b> — fogos de artifício (verão)<br>(hanabi)
こうよう (紅葉)	<b>kouyou</b> — folhas de outono<br>(kouyou)
ゆきまつり (雪祭り)	<b>yukimatsuri</b> — festival da neve (inverno)<br>(yukimatsuri)
どのきせつがすきですか？	<b>Qual estação você gosta?</b><br>(Dono kisetsu ga suki desu ka?)
どのきせつがきらいですか？	<b>Qual estação você não gosta?</b><br>(Dono kisetsu ga kirai desu ka?)
どのきせつがいちばんすきですか？	<b>Qual sua estação favorita?</b><br>(Dono kisetsu ga ichiban suki desu ka?)
[mês]はどのきせつですか？	<b>[Mês] é qual estação?</b> Ex: しがつはどのきせつですか？ (Abril é qual estação?)<br>([mês] wa dono kisetsu desu ka?)
なつはあついです	<b>O verão é quente.</b><br>(Natsu wa atsui desu)
ふゆはさむいです	<b>O inverno é frio.</b><br>(Fuyu wa samui desu)
あきはすずしいです	<b>O outono é fresco.</b><br>(Aki wa suzushii desu)
はるはあたたかいです	<b>A primavera é agradável.</b><br>(Haru wa atatakai desu)
〜がすきです	<b>Gostar de [algo].</b> Ex: はるがすきです (Eu gosto da primavera)<br>([algo] ga suki desu)
〜がきらいです	<b>Não gostar de [algo].</b> Ex: ふゆがきらいです<br>([algo] ga kirai desu)
〜がいちばんすきです	<b>[algo] é o favorito.</b> Ex: あきがいちばんすきです (Outono é meu favorito)<br>([algo] ga ichiban suki desu)
〜から	<b>porque...</b> (causa/razão no fim da frase)<br>(kara)
わたしははるがすきです	<b>Eu gosto da primavera.</b><br>(Watashi wa haru ga suki desu)
あきがいちばんすきです	<b>Outono é minha estação favorita.</b><br>(Aki ga ichiban suki desu)
つめたい ⚠️	<b>frio (objeto/bebida)</b> — NÃO confunda com さむい (frio do ar)!<br>(tsumetai)
あつい ⚠️ (暑いvs熱い)	<b>quente:</b> 暑い=temperatura do ar / 熱い=objeto quente — mesmo som, kanji diferente<br>(atsui)
